701210,26638,POINT LAY,US,AK,PPIZ,69.817,-162.917,6,1973,1,1,1999,12,31
701210,99999,POINT LAY,US,AK,PPIZ,69.817,-162.917,6,2000,1,1,2005,12,31
701213,26638,POINT LAY LIZ 2,US,AK,PIZ,69.733,-163.017,6.1,1992,3,18,1996,6,30
701213,99999,POINT LAY(DEW/AWOS),US,AK,,69.733,-163.017,6,1990,11,21,1991,8,3
701330,26616,RALPH WIEN MEMORIAL AIRPORT,US,AK,PAOT,66.867,-162.633,9.1,1973,1,1,2016,3,29
701331,99999,DEERING,US,AK,,66.067,-162.75,5,1984,4,2,1985,6,12
701333,26643,DEERING AIRPORT,US,AK,PADE,66.069,-162.764,6.4,1999,1,3,2016,3,29
701333,99999,DEERING,US,AK,PADE,66.083,-162.75,6,1998,1,11,1998,12,29
701334,99999,KOTZEBUE,US,AK,,66.883,-162.6,3,1996,8,1,1996,10,9
701335,26648,NOATAK AIRPORT,US,AK,PAWN,67.566,-162.975,26.8,2006,1,1,2016,3,29
701335,99999,NOATAK,US,AK,PAWN,67.55,-162.967,27,1995,7,8,2005,12,31
701336,99999,TELLER AIRPORT,US,AK,,65.233,-166.35,90,2010,5,27,2010,5,27
701337,103,WALES AIRPORT,US,AK,PAIW,65.617,-168.1,7,2013,1,1,2015,6,2
701337,99999,WALES AIRPORT,US,AK,PAIW,65.617,-168.1,6.7,2009,1,22,2016,3,28
701338,99999,CHEVAK AIRPORT,US,AK,PAVA,61.533,-165.583,22.9,2009,2,10,2016,3,28
701486,26642,KIVALINA AIRPORT,US,AK,PAVL,67.732,-164.548,3.1,2006,1,1,2016,3,29
701486,99999,KIVALINA,US,AK,PAVL,67.733,-164.55,4,1999,1,14,2005,12,31
701620,26508,UMIAT,US,AK,PAUM,69.367,-152.133,85,1946,1,1,2013,4,11
701625,26542,ANAKTUVUK PASS AIRPORT,US,AK,PAKP,68.167,-151.767,640.1,2006,1,1,2016,3,29
701625,99999,ANAKTUVUK PASS,US,AK,PAKP,68.133,-151.733,641,1980,9,11,2005,12,31
701718,26551,AMBLER AIRPORT,US,AK,PAFM,67.1,-157.85,88.1,2006,1,1,2016,3,29
701718,99999,AMBLER,US,AK,PAFM,67.1,-157.85,102,1988,1,5,2005,12,31
701719,490,SHUNGNAK AIRPORT,US,AK,PAGH,66.888,-157.162,62.8,2009,12,10,2016,3,29
701719,99999,SHUNGNAK,US,AK,PAGH,66.888,-157.162,60,1985,2,8,2011,12,31
701730,26535,INDIAN MOUNTAIN LRRS ARPT,US,AK,PAIM,66,-153.7,388.9,2005,1,1,2016,3,29
701730,99999,INDIAN MOUNTAIN AFS,US,AK,PAIM,66,-153.7,389,1951,8,1,2004,12,31
701740,26533,BETTLES AIRPORT,US,AK,PABT,66.54,-151.31,196,1945,1,1,2016,3,29
701745,26480,CHANDALAR LAKE AIRPORT,US,AK,PALR,67.511,-148.493,577.6,2006,1,1,2014,10,9
701745,99999,CHANDALAR LAKE,US,AK,PALR,67.5,-148.483,585,1973,6,24,2005,12,31
701746,99999,DIETRICK (PRIVATE),US,AK,,67.683,-149.733,447,1973,8,25,1975,7,29
701747,26467,MERRILL PASS WEST,US,AK,PAER,61.25,-153.82,358,1973,8,25,1975,7,29
701748,99999,PROSPECT CREEK AIRPORT,US,AK,PAPR,66.817,-150.65,335,1973,8,25,2016,3,22
701749,99999,WISEMAN ARPT,US,AK,,67.4,-150.117,360,1994,8,19,2002,8,3
701780,26529,RALPH M CALHOUN MEML ARPT,US,AK,PATA,65.175,-152.107,67.7,1943,6,1,2016,3,29
701790,99999,FIVE MILE CAMP,US,AK,,65.933,-149.833,155,1977,11,3,1985,5,31
701791,99999,MANLEY HOT SPRINGS,US,AK,,65,-150.65,85,1943,12,4,1989,10,13
701793,26524,MANLEY HOT SPRINGS,US,AK,PAML,64.999,-150.638,82.9,2006,1,1,2014,5,1
701793,99999,MANLEY HOT SPRINGS,US,AK,PAML,65,-150.65,81,1990,7,24,2005,12,31
701795,99999,FIVE MILE CAMP,US,AK,,65.933,-149.833,155,1973,8,25,1996,6,25
701940,26413,FORT YUKON AIRPORT,US,AK,PFYU,66.567,-145.267,135.6,1973,1,1,2016,3,29
701940,99999,FORT YUKON,US,AK,PFYU,66.567,-145.267,135,2000,1,2,2003,12,31
701945,46405,ARCTIC VILLAGE AIRPORT,US,AK,PARC,68.115,-145.579,637.6,2006,1,1,2016,3,29
701945,99999,ARCTIC VILLAGE,US,AK,PARC,68.117,-145.567,638,1995,7,8,2005,12,31
701970,99999,CENTRAL,US,AK,,65.483,-144.667,252,2002,10,18,2002,10,18
701975,26422,EAGLE AIRPORT,US,AK,PAEG,64.777,-141.148,276.8,2006,1,1,2016,3,29
701975,99999,EAGLE AIRPORT,US,AK,PAEG,64.783,-141.15,268,1998,4,8,2005,12,31
701995,26628,CAPE DARBY REMOT COM OUTLT,US,AK,PAGL,64.55,-163.007,7.6,2005,1,1,2016,3,29
701995,99999,GOLOVIN AIRPORT,US,AK,PAGL,64.54,-163.04,8,1999,1,14,2004,12,31
702000,26617,NOME AIRPORT,US,AK,PAOM,64.511,-165.44,4,1940,1,1,2016,3,29
702004,99999,WHITE MOUNTAIN,US,AK,PAWM,64.689,-163.413,81.4,2011,12,1,2016,3,28
702005,26647,ST MARY'S AIRPORT,US,AK,PASM,62.062,-163.3,95.1,2006,1,1,2016,3,29
702005,99999,ST MARYS,US,AK,PASM,62.05,-163.3,95,1979,4,8,2005,12,31
702006,26502,KALTAG AIRPORT,US,AK,PAKV,64.327,-158.742,55.2,2006,1,1,2016,3,29
702006,99999,KALTAG AIRPORT,US,AK,PAKV,64.316,-158.73,54,1999,1,14,2005,12,31
702031,26620,MOSES POINT,US,AK,,64.7,-162.05,6.1,1943,6,8,1979,1,28
702035,26704,SAVOONGA AIRPORT,US,AK,PASA,63.687,-170.493,16.8,2006,1,8,2016,3,29
702035,99999,SAVOONGA,US,AK,PASA,63.683,-170.483,16,1987,6,29,2005,12,1
702040,26703,GAMBELL AIRPORT,US,AK,PAGM,63.767,-171.733,8.5,1987,6,3,2016,3,28
702040,99999,GAMBELL (AWOS),US,AK,PAGM,63.767,-171.733,8,2000,1,1,2003,12,31
702060,26632,NORTHEAST CAPE,US,AK,KOHC,63.317,-168.967,9.1,1952,7,29,1969,8,19
702070,26627,UNALAKLEET AIRPORT,US,AK,PAUN,63.883,-160.8,5.5,1943,6,1,2016,3,29
702070,99999,UNALAKLEET,US,AK,PAUN,63.883,-160.8,6,2000,1,1,2003,12,31
702075,26644,ANVIK AIRPORT,US,AK,PANV,62.65,-160.183,26.8,2006,1,1,2016,3,29
702075,99999,ANVIK,US,AK,PANV,62.65,-160.183,94,1995,2,10,2005,12,31
702084,26650,EMMONAK,US,AK,PAEM,62.785,-164.491,4.3,2006,1,1,2016,3,29
702084,99999,EMMONAK,US,AK,PAEM,62.783,-164.483,4,1944,4,12,2005,12,31
702091,99999,MOUNTAIN VILLAGE,US,AK,,62.083,-163.717,50,1944,10,18,1945,9,27
702120,26633,CAPE ROMANZOFF AFS,US,AK,PACZ,61.783,-166.033,146,1953,4,1,1999,12,31
702120,26646,CAPE ROMANZOF LRRS ARPT,US,AK,PACZ,61.783,-166.033,146,2006,1,1,2016,3,29
702120,99999,CAPE ROMANZOFF AFS,US,AK,PACZ,61.783,-166.033,146,2000,1,1,2005,12,31
702185,26622,MEKORYUK AIRPORT,US,AK,PAMY,60.383,-166.2,13.7,2006,1,5,2016,3,29
702185,99999,MEKORYUK,US,AK,PAMY,60.367,-166.267,15,1983,11,4,2005,11,29
702186,26651,HOOPER BAY AIRPORT,US,AK,PAHP,61.524,-166.147,5.5,2006,1,1,2016,3,29
702186,99999,HOOPER BAY,US,AK,PAHP,61.517,-166.133,5,1984,11,5,2005,12,31
702190,26615,BETHEL AIRPORT,US,AK,PABE,60.785,-161.829,31.1,1945,1,1,2016,3,29
702195,99999,NAPAKIAK,US,AK,,60.7,-161.967,6,1994,8,30,1995,5,9
702220,26501,GALENA AIRPORT,US,AK,PAGA,64.737,-156.934,46.6,2006,1,1,2016,3,29
702220,99999,GALENA A.,US,AK,PAGA,64.733,-156.933,49,1942,9,17,2005,12,31
702223,26602,KOYUK AIRPORT,US,AK,PAKK,64.935,-161.155,33.5,2006,1,1,2016,3,29
702223,99999,KOYUK AIRPORT,US,AK,PAKK,64.933,-161.167,37,1976,5,3,2005,12,31
702224,99999,EAGLE AIRPORT,US,AK,,64.783,-141.15,268,1981,6,19,1995,5,12
702225,99999,HUSLIA,US,AK,PAHS,65.7,-156.383,55,1994,1,3,2005,8,17
702310,26510,MC GRATH AIRPORT,US,AK,PAMC,62.957,-155.61,101.5,1973,1,1,2016,3,29
702312,26519,FAREWELL LAKE,US,AK,PAFK,62.54,-153.617,321,1997,4,2,1999,12,31
702312,26555,FAREWELL LAKE SEAPLANE BASE,US,AK,PAFK,62.543,-153.623,3207.7,2006,1,1,2014,4,19
702312,99999,FAREWELL LAKE,US,AK,PAFK,62.54,-153.617,321,2000,1,1,2005,12,31
702315,26536,TATALINA LRRS AIRPORT,US,AK,PATL,62.894,-155.976,293.8,2006,1,1,2016,3,29
702315,99999,TATALINA LRRS,US,AK,PATL,62.883,-155.967,294,1952,4,1,2005,12,31
702320,26516,ANIAK AIRPORT,US,AK,PANI,61.582,-159.543,25.9,1973,1,1,2016,3,29
702320,99999,ANIAK,US,AK,PANI,61.583,-159.533,26,2000,1,1,2003,12,31
702325,26443,WASILLA AIRPORT,US,AK,PAWS,61.572,-149.541,107.9,2005,1,1,2016,3,29
702325,99999,WASILLA,US,AK,PAWS,61.572,-149.54,108,1998,2,26,2004,12,31
702350,26534,SPARREVOHN LRRS AIRPORT,US,AK,PASV,61.1,-155.583,484,2006,1,1,2016,3,29
702350,99999,SPARREVOHN AFS,US,AK,PASV,61.1,-155.567,484,1951,7,11,2005,12,31
702460,26512,MINCHUMINA,US,AK,PAMH,63.886,-152.302,206.7,1973,1,1,2016,3,29
702460,99999,MINCHUMINA,US,AK,PAMH,63.9,-152.267,214,2000,1,1,2004,12,30
702483,99999,FAREWELL LAKE,US,AK,PAFW,62.533,-153.617,323,1985,1,30,1996,4,25
702490,26526,PUNTILLA LAKE,US,AK,PAPT,62.091,-152.735,566.3,2006,1,1,2016,3,28
702490,99999,PUNTILLA,US,AK,PAPT,62.1,-152.75,560,1973,1,1,2005,12,31
702495,26547,HAYES RIVER AIRPORT,US,AK,PAHZ,61.983,-152.083,305.1,2006,1,1,2011,1,27
702495,99999,HAYES RIVER AIRPORT,US,AK,PAHZ,61.98,-152.08,305,1973,1,1,2005,12,31
702510,26528,TALKEETNA AIRPORT,US,AK,PATK,62.32,-150.095,106.7,1973,1,1,2016,3,29
702520,99999,TALKEETNA  AK,US,AK,,62.3,-150.417,151,2005,2,13,2005,2,13
702550,26514,SKWENTNA AIRPORT,US,AK,PASW,61.977,-151.217,45.7,1973,1,1,2016,3,29
702550,99999,SKWENTNA,US,AK,PASW,61.967,-151.183,45,2000,1,1,2004,12,31
702590,26523,KENAI MUNICIPAL AIRPORT,US,AK,PAEN,60.58,-151.239,27.7,1973,1,1,2016,3,29
702595,26559,SOLDOTNA AIRPORT,US,AK,PASX,60.476,-151.034,34.4,2006,1,1,2016,3,29
702595,99999,SOLDOTNA,US,AK,PASX,60.467,-151.033,34,1983,5,2,2005,12,31
702600,26435,NENANA MUNICIPAL AIRPORT,US,AK,PANN,64.55,-149.072,109.7,1943,7,6,2016,3,29
702600,99999,NENANA/MUN.,US,AK,PANN,64.55,-149.083,110,2000,1,1,2003,12,31
702605,99999,CLEAR,US,AK,PACL,64.301,-149.12,168.2,1947,10,10,1947,11,30
702606,96401,CHULITNA,US,AK,PAEC,62.826,-149.907,426.7,2006,1,1,2016,3,29
702606,99999,CHULITNA AIRPORT,US,AK,PAEC,62.883,-149.833,381,1978,11,30,2005,12,31
702607,25378,HOONAH SEAPLANE BASE,US,AK,PAOH,58.096,-135.409,0,2006,1,1,2016,3,29
702607,99999,HOONAH SEAPLANE BASE,US,AK,PAOH,58.12,-135.417,6,1978,11,24,2005,12,31
702610,26411,FAIRBANKS INTERNATIONAL,US,AK,PAFA,64.804,-147.876,131.7,1946,1,1,2016,3,29
702615,26498,WAINWRIGHT AAF AIRPORT,US,AK,PAFB,64.838,-147.614,138.4,2006,1,3,2016,3,29
702615,99999,WAINWRIGHT AAF,US,AK,PAFB,64.833,-147.617,140,1941,2,6,2005,12,30
702616,99999,OLD MAN,US,AK,,66.45,-150.583,389,1975,1,8,1976,11,23
702625,104,NIKOLAI AIRPORT,US,AK,PAFS,63.017,-154.367,126.2,2015,2,24,2016,3,29
702625,99999,NIKOLAI,US,AK,PAFS,63.02,-154.36,126,2006,10,24,2015,6,2
702626,99999,PILOT POINT,US,AK,PAPN,57.58,-157.58,17,2006,10,24,2016,3,28
702627,26561,RUBY  AIRPORT,US,AK,PARY,64.727,-155.47,199,2006,10,1,2016,3,29
702628,105,MARSHALL DON HUNTER SR AIRPOR,US,AK,PADM,61.867,-162.033,31.1,2015,2,24,2016,3,29
702628,99999,MARSHALL DON HUNTER SR,US,AK,PADM,61.864,-162.026,31.4,2006,10,24,2015,6,2
702629,99999,CAPE DECISION CG HELIPORT,US,AK,,56,-134.133,10,2008,9,15,2011,6,8
702640,26414,SUMMIT,US,AK,PAST,63.331,-149.127,734.3,1973,1,1,1984,1,7
